epoch,lr,training_error,prediction_100_ms,prediction_200_ms,prediction_300_ms,prediction_400_ms,prediction_500_ms,prediction_600_ms,prediction_700_ms,prediction_800_ms,prediction_900_ms,prediction_1000_ms,prediction_error_average,baseline_100_ms,baseline_200_ms,baseline_300_ms,baseline_400_ms,baseline_500_ms,baseline_600_ms,baseline_700_ms,baseline_800_ms,baseline_900_ms,baseline_1000_ms,baseline_error_average
10,0.006302494097246091,75.5,14.9,27.2,41.9,54.6,68.0,83.7,99.8,117.7,136.5,155.2,74.8,61.9,125.9,191.4,258.0,325.5,393.3,460.4,525.7,588.1,646.4,336.1
20,0.0037735360253530726,65.2,12.8,24.2,37.0,50.8,64.7,79.6,96.3,112.7,132.4,153.1,71.4,61.9,125.9,191.4,258.0,325.5,393.3,460.4,525.7,588.1,646.4,336.1
30,0.0022593554099256553,59.8,12.3,24.7,38.5,50.2,65.0,80.4,97.1,114.4,131.7,151.3,71.6,61.9,125.9,191.4,258.0,325.5,393.3,460.4,525.7,588.1,646.4,336.1
40,0.0013527595427905588,56.4,12.0,23.9,35.8,49.7,64.0,78.5,94.5,111.6,129.5,148.1,69.8,61.9,125.9,191.4,258.0,325.5,393.3,460.4,525.7,588.1,646.4,336.1
50,0.0008099471081759276,54.5,11.7,22.6,34.0,46.7,61.0,76.4,92.6,109.1,126.8,145.5,67.8,61.9,125.9,191.4,258.0,325.5,393.3,460.4,525.7,588.1,646.4,336.1
60,0.0004849452524942309,53.2,11.6,22.3,34.0,46.7,60.5,75.3,91.1,107.9,125.8,144.2,67.1,61.9,125.9,191.4,258.0,325.5,393.3,460.4,525.7,588.1,646.4,336.1
70,0.0002903546361765785,52.6,11.6,22.4,34.2,47.4,61.9,77.1,93.8,111.3,129.8,148.9,68.9,61.9,125.9,191.4,258.0,325.5,393.3,460.4,525.7,588.1,646.4,336.1
80,0.0001738460461580376,52.1,11.4,22.1,33.6,46.4,60.4,75.8,92.0,108.8,126.9,145.5,67.4,61.9,125.9,191.4,258.0,325.5,393.3,460.4,525.7,588.1,646.4,336.1
