epoch,lr,training_error,prediction_100_ms,prediction_200_ms,prediction_300_ms,prediction_400_ms,prediction_500_ms,prediction_600_ms,prediction_700_ms,prediction_800_ms,prediction_900_ms,prediction_1000_ms,prediction_error_average,baseline_100_ms,baseline_200_ms,baseline_300_ms,baseline_400_ms,baseline_500_ms,baseline_600_ms,baseline_700_ms,baseline_800_ms,baseline_900_ms,baseline_1000_ms,baseline_error_average
10,0.006302494097246091,75.1,19.6,35.7,53.7,69.7,87.1,109.2,129.2,151.8,176.6,202.3,96.8,70.2,142.0,214.8,288.1,361.6,434.7,506.5,576.4,643.6,707.4,371.0
20,0.0037735360253530726,64.0,16.0,29.1,43.3,60.4,78.6,96.5,115.4,137.3,160.3,183.9,86.0,70.2,142.0,214.8,288.1,361.6,434.7,506.5,576.4,643.6,707.4,371.0
30,0.0022593554099256553,58.6,15.6,30.1,43.6,60.6,79.8,98.0,118.5,139.3,160.6,182.5,86.6,70.2,142.0,214.8,288.1,361.6,434.7,506.5,576.4,643.6,707.4,371.0
40,0.0013527595427905588,55.2,14.8,27.9,41.1,56.3,73.1,91.3,111.0,131.3,153.0,175.5,81.7,70.2,142.0,214.8,288.1,361.6,434.7,506.5,576.4,643.6,707.4,371.0
50,0.0008099471081759276,53.2,15.0,27.6,42.6,58.2,75.6,95.2,115.5,136.9,159.3,181.1,84.6,70.2,142.0,214.8,288.1,361.6,434.7,506.5,576.4,643.6,707.4,371.0
60,0.0004849452524942309,52.1,14.7,27.9,41.6,57.1,73.8,92.5,112.5,133.1,154.8,177.0,82.6,70.2,142.0,214.8,288.1,361.6,434.7,506.5,576.4,643.6,707.4,371.0
70,0.0002903546361765785,51.4,14.4,27.1,41.3,56.4,73.5,92.2,112.0,133.1,154.6,176.7,82.2,70.2,142.0,214.8,288.1,361.6,434.7,506.5,576.4,643.6,707.4,371.0
80,0.0001738460461580376,50.9,14.5,27.1,41.0,56.3,73.5,92.1,112.2,133.0,154.9,177.1,82.2,70.2,142.0,214.8,288.1,361.6,434.7,506.5,576.4,643.6,707.4,371.0
