epoch,lr,training_error,prediction_100_ms,prediction_200_ms,prediction_300_ms,prediction_400_ms,prediction_500_ms,prediction_600_ms,prediction_700_ms,prediction_800_ms,prediction_900_ms,prediction_1000_ms,prediction_error_average,baseline_100_ms,baseline_200_ms,baseline_300_ms,baseline_400_ms,baseline_500_ms,baseline_600_ms,baseline_700_ms,baseline_800_ms,baseline_900_ms,baseline_1000_ms,baseline_error_average
10,0.006302494097246091,44.7,8.0,15.3,23.8,32.1,41.9,51.8,62.6,73.6,85.1,96.6,45.9,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
20,0.0037735360253530726,36.8,6.6,13.1,20.6,29.1,38.4,47.6,57.8,68.7,80.0,91.7,42.3,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
30,0.0022593554099256553,33.3,6.2,12.5,19.5,27.2,35.4,44.4,53.8,63.7,74.0,84.8,39.3,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
40,0.0013527595427905588,31.3,5.7,11.9,18.8,26.7,35.0,43.9,53.5,64.1,74.9,85.7,39.2,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
50,0.0008099471081759276,30.1,5.7,11.8,18.6,26.1,34.4,43.4,52.8,62.8,73.2,83.7,38.4,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
60,0.0004849452524942309,29.5,5.6,11.5,18.3,25.8,33.9,42.7,52.1,61.9,72.0,82.5,37.9,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
70,0.0002903546361765785,29.0,5.5,11.5,18.2,25.7,33.8,42.6,52.1,62.0,72.3,82.8,37.9,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
80,0.0001738460461580376,28.7,5.5,11.4,18.1,25.6,33.7,42.5,52.0,61.8,72.0,82.5,37.7,30.2,59.4,87.6,115.1,141.8,167.7,193.1,217.8,242.1,265.9,143.3
