epoch,lr,training_error,prediction_100_ms,prediction_200_ms,prediction_300_ms,prediction_400_ms,prediction_500_ms,prediction_600_ms,prediction_700_ms,prediction_800_ms,prediction_900_ms,prediction_1000_ms,prediction_error_average,baseline_100_ms,baseline_200_ms,baseline_300_ms,baseline_400_ms,baseline_500_ms,baseline_600_ms,baseline_700_ms,baseline_800_ms,baseline_900_ms,baseline_1000_ms,baseline_error_average
10,0.006302494097246091,75.2,15.1,27.8,40.3,53.7,67.5,82.2,97.5,113.2,129.5,146.9,72.7,62.0,124.6,187.5,250.3,312.7,374.2,434.1,491.8,546.8,598.5,318.4
20,0.0037735360253530726,64.6,13.8,25.6,38.2,50.5,64.1,78.7,94.3,110.3,126.8,144.3,69.9,62.0,124.6,187.5,250.3,312.7,374.2,434.1,491.8,546.8,598.5,318.4
30,0.0022593554099256553,59.2,13.3,25.0,36.8,49.2,62.5,76.4,90.6,105.4,121.0,137.4,67.2,62.0,124.6,187.5,250.3,312.7,374.2,434.1,491.8,546.8,598.5,318.4
40,0.0013527595427905588,56.0,12.8,24.3,36.1,48.4,61.6,76.0,91.0,106.3,122.7,139.8,67.3,62.0,124.6,187.5,250.3,312.7,374.2,434.1,491.8,546.8,598.5,318.4
50,0.0008099471081759276,54.1,12.8,24.5,36.2,48.8,61.9,76.2,91.2,106.7,123.2,139.8,67.5,62.0,124.6,187.5,250.3,312.7,374.2,434.1,491.8,546.8,598.5,318.4
60,0.0004849452524942309,52.9,12.6,24.1,35.9,48.2,61.5,75.8,90.7,106.4,122.8,139.7,67.1,62.0,124.6,187.5,250.3,312.7,374.2,434.1,491.8,546.8,598.5,318.4
70,0.0002903546361765785,52.2,12.6,24.1,35.7,47.9,61.1,75.4,90.6,106.4,123.0,140.1,67.0,62.0,124.6,187.5,250.3,312.7,374.2,434.1,491.8,546.8,598.5,318.4
80,0.0001738460461580376,51.8,12.5,24.0,35.7,48.2,61.6,76.2,91.2,106.9,123.6,140.7,67.4,62.0,124.6,187.5,250.3,312.7,374.2,434.1,491.8,546.8,598.5,318.4
