epoch,lr,training_error,prediction_100_ms,prediction_200_ms,prediction_300_ms,prediction_400_ms,prediction_500_ms,prediction_600_ms,prediction_700_ms,prediction_800_ms,prediction_900_ms,prediction_1000_ms,prediction_error_average,baseline_100_ms,baseline_200_ms,baseline_300_ms,baseline_400_ms,baseline_500_ms,baseline_600_ms,baseline_700_ms,baseline_800_ms,baseline_900_ms,baseline_1000_ms,baseline_error_average
10,0.006302494097246091,75.4,16.3,29.6,44.7,60.2,76.5,95.1,113.3,134.2,154.3,176.5,84.3,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
20,0.0037735360253530726,64.2,18.1,27.9,41.7,57.0,72.3,89.2,106.5,124.7,142.5,162.0,78.6,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
30,0.0022593554099256553,58.3,14.8,27.2,40.5,55.5,71.2,87.8,105.3,123.4,142.4,161.6,77.6,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
40,0.0013527595427905588,54.9,13.6,26.0,39.1,53.1,68.0,83.9,101.3,119.4,137.8,156.7,74.7,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
50,0.0008099471081759276,52.6,13.4,25.5,38.4,52.5,67.5,83.7,100.8,118.4,136.9,155.5,74.1,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
60,0.0004849452524942309,51.4,13.3,25.6,38.4,52.4,67.3,83.5,100.5,118.1,136.2,155.1,73.9,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
70,0.0002903546361765785,50.5,13.3,25.3,38.1,52.2,67.4,83.7,100.9,118.6,137.0,155.9,74.1,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
80,0.0001738460461580376,50.1,13.3,25.3,38.1,52.1,67.2,83.3,100.3,117.9,136.2,155.0,73.7,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
