epoch,lr,training_error,prediction_100_ms,prediction_200_ms,prediction_300_ms,prediction_400_ms,prediction_500_ms,prediction_600_ms,prediction_700_ms,prediction_800_ms,prediction_900_ms,prediction_1000_ms,prediction_error_average,baseline_100_ms,baseline_200_ms,baseline_300_ms,baseline_400_ms,baseline_500_ms,baseline_600_ms,baseline_700_ms,baseline_800_ms,baseline_900_ms,baseline_1000_ms,baseline_error_average
10,0.006302494097246091,76.8,16.4,29.4,42.1,55.1,69.6,84.9,100.9,116.2,131.2,147.9,74.5,64.9,130.6,196.9,263.1,328.8,393.3,456.1,516.5,574.2,628.6,334.4
20,0.0037735360253530726,65.3,15.5,29.2,40.5,53.8,68.2,84.2,101.2,117.2,133.4,149.1,74.3,64.9,130.6,196.9,263.1,328.8,393.3,456.1,516.5,574.2,628.6,334.4
30,0.0022593554099256553,59.7,13.6,25.2,36.8,50.6,64.4,80.0,95.8,111.1,126.8,142.0,70.0,64.9,130.6,196.9,263.1,328.8,393.3,456.1,516.5,574.2,628.6,334.4
40,0.0013527595427905588,56.3,13.7,26.5,39.0,51.1,66.6,82.0,99.3,117.3,133.1,148.1,72.8,64.9,130.6,196.9,263.1,328.8,393.3,456.1,516.5,574.2,628.6,334.4
50,0.0008099471081759276,54.3,13.3,24.8,36.5,49.6,63.9,79.7,95.6,111.2,127.2,142.9,69.7,64.9,130.6,196.9,263.1,328.8,393.3,456.1,516.5,574.2,628.6,334.4
60,0.0004849452524942309,52.8,13.1,25.0,36.9,51.5,66.6,82.9,100.1,116.9,133.2,149.0,72.6,64.9,130.6,196.9,263.1,328.8,393.3,456.1,516.5,574.2,628.6,334.4
70,0.0002903546361765785,52.3,13.0,24.9,36.8,49.8,64.4,79.7,95.1,111.5,127.2,143.2,69.8,64.9,130.6,196.9,263.1,328.8,393.3,456.1,516.5,574.2,628.6,334.4
80,0.0001738460461580376,51.8,12.9,24.3,36.3,49.5,63.9,79.3,94.8,110.6,126.5,142.1,69.3,64.9,130.6,196.9,263.1,328.8,393.3,456.1,516.5,574.2,628.6,334.4
