epoch,lr,training_error,prediction_100_ms,prediction_200_ms,prediction_300_ms,prediction_400_ms,prediction_500_ms,prediction_600_ms,prediction_700_ms,prediction_800_ms,prediction_900_ms,prediction_1000_ms,prediction_error_average,baseline_100_ms,baseline_200_ms,baseline_300_ms,baseline_400_ms,baseline_500_ms,baseline_600_ms,baseline_700_ms,baseline_800_ms,baseline_900_ms,baseline_1000_ms,baseline_error_average
10,0.006302494097246091,73.0,17.7,35.4,52.9,71.1,90.6,111.1,132.1,153.4,176.2,198.2,97.5,60.2,121.1,182.1,243.3,304.9,366.6,427.8,487.3,543.5,595.3,313.4
20,0.0037735360253530726,62.3,16.4,33.0,49.3,67.5,85.0,104.4,124.8,145.9,166.7,187.4,91.9,60.2,121.1,182.1,243.3,304.9,366.6,427.8,487.3,543.5,595.3,313.4
30,0.0022593554099256553,56.7,16.0,31.1,47.0,63.5,81.4,101.1,121.9,143.1,164.6,185.6,89.4,60.2,121.1,182.1,243.3,304.9,366.6,427.8,487.3,543.5,595.3,313.4
40,0.0013527595427905588,53.4,15.0,29.9,46.0,63.0,80.9,100.6,121.2,142.2,163.6,184.5,88.6,60.2,121.1,182.1,243.3,304.9,366.6,427.8,487.3,543.5,595.3,313.4
50,0.0008099471081759276,51.6,15.0,29.8,45.2,61.5,79.3,98.6,119.0,140.1,161.4,182.5,87.2,60.2,121.1,182.1,243.3,304.9,366.6,427.8,487.3,543.5,595.3,313.4
60,0.0004849452524942309,50.4,14.9,29.6,44.9,61.4,79.2,98.4,118.7,139.8,161.4,182.3,87.0,60.2,121.1,182.1,243.3,304.9,366.6,427.8,487.3,543.5,595.3,313.4
70,0.0002903546361765785,49.7,14.8,29.6,44.9,61.3,79.0,98.0,118.5,139.8,161.5,182.6,86.9,60.2,121.1,182.1,243.3,304.9,366.6,427.8,487.3,543.5,595.3,313.4
80,0.0001738460461580376,49.1,14.8,29.5,44.8,61.1,78.8,98.0,118.3,139.5,160.8,181.8,86.7,60.2,121.1,182.1,243.3,304.9,366.6,427.8,487.3,543.5,595.3,313.4
